"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Eesti"
"1680469200";"03.04.2023 00:00";"54,92"
"1680472800";"03.04.2023 01:00";"71,26"
"1680476400";"03.04.2023 02:00";"68,16"
"1680480000";"03.04.2023 03:00";"70,13"
"1680483600";"03.04.2023 04:00";"71,61"
"1680487200";"03.04.2023 05:00";"77,44"
"1680490800";"03.04.2023 06:00";"105"
"1680494400";"03.04.2023 07:00";"134,24"
"1680498000";"03.04.2023 08:00";"163,01"
"1680501600";"03.04.2023 09:00";"158,72"
"1680505200";"03.04.2023 10:00";"111,85"
"1680508800";"03.04.2023 11:00";"95,09"
"1680512400";"03.04.2023 12:00";"86,63"
"1680516000";"03.04.2023 13:00";"80,98"
